m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
SRS,SRS,PRO-ULS RE,PRO-ULS RE,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
ARVI,SRS.,ARV ASSISTD LIV,ARV ASSISTD LIV,,,,N,,,,,,,,,,12,,,,,,,,,
SRS2,SRSC,SEARS CANADA,Sears Canada Inc.,NSDQ,USD,S,Y,http://www.sears.ca,5311,Department stores,166,RETAIL-RGN DEPT,3,Retail/Wholesale,14,NONFOOD RETAIL/WH,1,,,0001550910,CA,CANADA,1,N,N,COM
SRSG,SRSG,SEARS OIL AND G,SEARS OIL AND G,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
#SRS,SRSI,SPECIALTY RETAI,SPECIALTY RETAI,,,,N,,,,,,,,,,12,,,,,,,,,
SBM&,SRSK,STAR STRUCK LTD,Star Struck Ltd.,OTC,USD,S,Y,http://www.starstruck.com,5063,Electrical apparatus & equipment,50,ELEC-MISC COMPONENTS,10,Computer and Technology,34,ELECTRONICS,12,,,,US,UNITED STATES,1,N,N,COM
SRSL,SRSL,SRS LABS INC,SRS LABS INC,,,,N,,,,,,,,,,12,,,,,,,,,
SRSV,SRSV,SOURCE SERVICES,SOURCE SERVICES,,,,N,,,,,,,,,,12,,,,,,,,,
SRT1,SRT,STARTEK INC,"StarTek, Inc.",NYSE,USD,S,Y,http://www.startek.com,7363,Help supply services,281,Outsourcing,16,Business Services,59,BUSINESS SERVICES,12,,,0001031029,US,UNITED STATES,1,Y,N,COM
SRT,SRT.,ST REGIS CORP,ST REGIS CORP,,,,N,,,,,,,,,,12,,,,,,,,,
STUS,SRTDQ,STUARTS DEPT ST,STUARTS DEPT ST,,,,N,,,,,,,,,,1,,,,,,,,,
SRTI,SRTI,SUNRISE TELECOM,Sunrise Telecom Inc.,OTC,USD,S,Y,http://www.sunrisetelecom.com,4813,"Telephone communication, except radio",51,ELEC MSRNG INST,10,Computer and Technology,34,ELECTRONICS,12,,,0000907152,US,UNITED STATES,1,N,N,COM
TODM,SRTKY,SPORTECH PLC,SPORTECH PLC,,,,N,,,,,,,,,,9,,,,,,,,,
SUT,SRTOQ,SUPERIOR TCOM,SUPERIOR TCOM,,,,N,,,,,,,,,,12,,,,,,,,,
SRT&,SRTR,SENIOR TOUR PLA,SENIOR TOUR PLA,,,,N,,,,,,,,,,12,,,,,,,,,
SRTS,SRTS,SENSUS HEALTHCR,"Sensus Healthcare, Inc.",NSDQ,USD,S,Y,http://www.sensushealthcare.com,3841,Surgical & medical instruments,103,MED INSTRUMENTS,4,Medical,17,MED PRODS,12,,,0001494891,US,UNITED STATES,1,N,N,COM
SRTY,SRTY,PRO-ULS R2000,ProShares UltraPro Short Russell2000,ARCA,,E,Y,,,,,,,,,,12,,,,,,,,,
SRUN,SRUN,SILVER RUN ACQ,Silver Run Acquisition Corporation II,NSDQ,USD,S,Y,,2782,Blankbooks & looseleaf binders,500,UNCLASSIFIED,17,Unclassified,70,UNCLASSIFIED,12,,,,,,,N,N,COM
